gene_symbol	Brain - Substantia nigra
TNFRSF25	4.11721
PLEKHG5	3.19904
NOL9	3.50183
RNU6-731P	0.0
RP11-58A11.2	0.0752406
TAS1R1	0.108366
ZBTB48	7.86887
KLHL21	13.4826
PHF13	5.42596
THAP3	7.5017
DNAJC11	7.26353
LINC01672	0.0
RP11-312B8.1	0.451599
CAMTA1	10.1475
RP11-312B8.2	0.0
RP11-334N17.1	0.0
RNU1-8P	0.0
CAMTA1-IT1	0.282227
RP3-453P22.2	0.0
RP4-549F15.1	0.0
RP11-338N10.1	1.16233
RP11-338N10.2	1.03998
RP11-338N10.3	2.02262
VAMP3	76.6327
RP3-467L1.6	1.50033
PER3	10.4966
RP3-467L1.4	1.05354
UTS2	0.0544153
TNFRSF9	0.00761098
RP5-892F13.2	0.0
PARK7	167.046
Y_RNA	0.0
ERRFI1	9.65837
RP11-431K24.1	0.128508
CTA-215D11.4	0.0
RP11-431K24.2	0.0
LINC01714	0.0
RNU1-7P	0.0
RP11-431K24.4	0.0
RNU6-991P	0.0
SLC45A1	7.76412
Y_RNA	0.0
RERE	14.9575
RP5-1115A15.1	0.124347
SNORA77	0.243006
RP5-1115A15.2	0.0
RPL7P11	0.0
RPL7P7	0.0
Y_RNA	0.0
RP4-633I8.3	0.0
RP4-633I8.4	0.0
RPL23AP19	0.0
ENO1	395.882
MIR6728	0.0
ENO1-IT1	0.0400505
ENO1-AS1	0.390717
RNU6-304P	0.0
HMGN2P17	0.0225327
RP3-477M7.5	0.0716792
RP3-477M7.6	0.0
CA6	0.0128331
RN7SL451P	0.0
SLC2A7	0.0
SLC2A5	5.69958
SCARNA16	0.0
GPR157	0.347204
MIR34AHG	1.58974
LINC01759	0.246322
RP3-510D11.4	0.0656025
H6PD	6.24959
SPSB1	7.21602
RNA5SP40	0.0
RP13-392I16.1	0.0
SLC25A33	13.2403
RP13-15M17.1	0.237828
TMEM201	5.43195
PIK3CD	4.58069
PIK3CD-AS1	0.0325836
RP11-558F24.2	0.0
PIK3CD-AS2	0.195813
CLSTN1	67.724
MZT1P1	0.0
RP11-84A14.7	0.0382952
CTNNBIP1	18.818
LZIC	12.7915
RP11-84A14.4	0.199917
NMNAT1	2.76506
RN7SKP269	0.102127
RP11-84A14.6	0.163392
MIR5697	0.0
RBP7	12.8769
UBE4B	12.6136
RP11-496H15.2	0.0
PGAM1P11	0.0
RNU6-828P	0.0
KIF1B	34.2226
MIR1273D	0.0
RNU6-37P	0.240685
PGD	41.0386
RP4-736L20.3	0.0
CENPS	7.21144
CORT	2.15485
DFFA	12.9486
PEX14	12.7556
RN7SL614P	0.0
CASZ1	0.204514
RP4-734G22.3	0.14275
HSPE1P24	0.0
C1ORF127	0.279985
CFL1P6	0.0494949
TARDBP	39.115
MASP2	1.02404
RP4-635E18.8	15.0718
SRM	42.6227
EXOSC10	23.8017
RP4-635E18.7	1.40732
RP4-635E18.6	0.957873
MTOR	7.3352
MTOR-AS1	0.0
RNU6-537P	0.0
ANGPTL7	0.194436
RNU6-291P	0.0
RPL39P6	0.0
UBIAD1	3.99813
UBE2V2P3	0.0
MTCYBP45	0.0
DISP3	1.78861
LINC01647	0.0203335
FBXO2	190.923
FBXO44	43.6953
FBXO6	8.8935
MAD2L2	10.3897
DRAXIN	0.0918312
AGTRAP	10.4128
C1ORF167	0.00707224
RP11-56N19.5	0.0
MTHFR	3.9282
CLCN6	17.5445
NPPA-AS1	0.567129
NPPA	1.47247
NPPB	0.257143
RP5-934G17.6	0.0
RNU5E-1	0.0
RNU5E-4P	0.0
KIAA2013	20.1065
PLOD1	23.7266
MFN2	53.635
RP5-1077B9.5	0.0
MIIP	11.2966
Y_RNA	0.0
MIR6729	0.0
RN7SL649P	0.0
TNFRSF8	0.0964541
RNU6-777P	0.0
RPL23AP89	0.0
MIR7846	0.0
TNFRSF1B	11.3198
MIR4632	0.0
RPL10P17	0.0
SNORA70	0.0
VPS13D	6.36438
SNORA59A	0.559254
RP5-888M10.2	0.0693511
DHRS3	21.3718
RNU6ATAC18P	0.0
MIR6730	0.0
RP11-474O21.5	0.427402
AADACL4	0.0
RP11-474O21.2	0.0
AADACL3	0.0
C1ORF158	0.0583818
PRAMEF12	0.0
PRAMEF1	0.0
LINC01784	0.0
PRAMEF11	0.0
PRAMEF30P	0.0
HNRNPCL1	0.03547
PRAMEF2	0.0
PRAMEF4	0.0
PRAMEF10	0.0
PRAMEF7	0.0
RNU6-1072P	0.0
PRAMEF29P	0.0
PRAMEF6	0.0
PRAMEF28P	0.0
PRAMEF27	0.0
HNRNPCL3	0.0
PRAMEF25	0.0
PRAMEF34P	0.0
PRAMEF35P	0.0
HNRNPCL2	0.0
PRAMEF36P	0.0
RP13-221M14.2	0.0
PRAMEF26	0.0
HNRNPCL4	0.0
PRAMEF9	0.0
PRAMEF13	0.0
PRAMEF18	0.0
PRAMEF31P	0.0
PRAMEF5	0.0
PRAMEF32P	0.0
RNU6-771P	0.0
PRAMEF8	0.0
PRAMEF33	0.0
PRAMEF15	0.0
RP11-219C24.10	0.0
PRAMEF14	0.0
PRAMEF19	0.0
PRAMEF17	0.0
PRAMEF20	0.0
LRRC38	0.0751836
RP4-597A16.2	0.0
BRWD1P1	0.0
PDPN	8.06514
RNA5SP41	0.0
CTA-520D8.2	0.0
SCARNA11	0.0
PRDM2	7.99758
KAZN	13.0683
RNU6-1265P	0.0
RP11-344F13.1	0.0
RP4-704D23.1	0.0
TBCAP2	0.0
TMEM51-AS1	0.335826
TMEM51	3.50623
C1ORF195	0.0
RP1-21O18.3	0.0
RP5-903E17.2	0.0
FHAD1	0.0946795
RP3-467K16.2	0.0236852
RP3-467K16.7	0.0
RP3-467K16.4	0.0404368
EFHD2	27.1639
CTRC	0.0678149
CELA2A	0.0920353
CELA2B	0.0639824
CASP9	5.62349
DNAJC16	3.13483
SCARNA21	0.0
RP4-680D5.8	0.149428
AGMAT	0.609635
RP4-680D5.2	0.0737316
CHCHD2P6	1.29751
RNU7-179P	0.0
CD24P1	0.0
DDI2	3.70632
RP4-680D5.9	0.0
PLEKHM2	43.2158
RP11-288I21.1	0.267479
SLC25A34	1.57325
TMEM82	0.0
RP11-169K16.4	0.0
FBLIM1	1.08496
RPL12P14	0.0756958
UQCRHL	4.57082
RP11-169K16.8	0.499541
FLJ37453	3.29466
SPEN	9.1906
RP1-134O19.3	0.0
ZBTB17	11.6697
RP11-5P18.1	0.0
RP11-5P18.3	0.0
RP11-5P18.11	0.0
TBC1D3P6	0.0
C1ORF64	2.95532
HSPB7	2.03652
CLCNKA	0.218262
RP11-5P18.10	3.35602
CLCNKB	0.128857
FAM131C	14.655
EPHA2	2.90883
RP11-276H7.2	0.0874318
RP11-276H7.3	0.0
ARHGEF19	0.769497
ANO7L1	0.183722
RSG1	4.60963
MT1XP1	0.849874
FBXO42	3.98758
SZRD1	20.2394
RP11-430L17.1	0.0819831
SPATA21	0.0350753
NECAP2	19.4959
LINC01772	1.25929
CROCCP3	2.51958
RNU1-1	0.0
RP4-798A10.7	0.424873
RP4-798A10.4	0.13787
LINC01783	0.0616093
RNU1-6P	0.0
FAM231B	0.0
RP5-875O13.6	0.0
NBPF1	4.23578
RP5-1182A14.5	0.135791
CROCCP2	9.35692
MST1P2	1.33189
RP1-163M9.8	0.0
RNU1-3	0.0
FAM231A	0.0
RP5-875O13.7	0.0
EIF1AXP1	0.229217
ESPNP	0.0484419
RP1-163M9.7	0.0
FAM231C	0.0
RP5-1182A14.7	0.0
RNU1-4	0.0
CROCCP4	0.0
MST1L	0.343216
RP11-108M9.1	0.0
RP11-108M9.2	0.0
MIR3675	0.0
RP11-108M9.3	0.116205
RP11-108M9.4	4.53664
RP11-108M9.5	1.7565
RNU1-2	0.0
RP11-108M9.6	0.257221
CROCC	6.50583
MFAP2	0.107822
RP1-37C10.3	0.0
ATP13A2	49.0852
SDHB	53.3442
PADI2	96.1073
RP11-380J14.1	0.0
RP11-380J14.4	0.0
PADI1	1.17237
PADI3	0.0188473
MIR3972	0.0
PADI4	0.153329
PADI6	0.0
RCC2	13.8469
ARHGEF10L	10.7778
RP11-473A10.2	0.0
ACTL8	0.0
LINC01654	0.0
IGSF21	17.0957
RP11-174G17.3	0.089636
RP11-174G17	0.0
RP11-422P22.1	0.0
KLHDC7A	0.0320122
DYNLL1P3	0.0
RP1-8B22.2	0.0
PAX7	0.187936
TAS1R2	0.0
ALDH4A1	51.1266
MIR4695	0.0
MIR1290	0.0
IFFO2	6.05433
RP5-1126H10.2	0.62401
UBR4	8.37357
RP1-43E13.2	1.22751
EMC1	5.72104
MRTO4	14.746
AKR7L	0.806625
AKR7A3	2.8445
RP4-657E11.10	2.48021
AKR7A2	42.5383
RNU6-1099P	0.0
PQLC2	9.08423
CAPZB	70.2419
RN7SL277P	0.0
RNU4-28P	0.0
RP5-1056L3.1	0.0985577
MINOS1	24.6213
RP5-1056L3.3	2.1905
NBL1	41.3079
HTR6	0.0833639
TMCO4	2.0565
RNF186	0.0
RP11-91K11.2	0.0
OTUD3	3.44469
PLA2G2E	0.0
RN7SL304P	0.0
PLA2G2A	0.331695
PLA2G5	7.978
PLA2G2D	0.0240464
PLA2G2F	0.0
RP3-340N1.2	0.158316
PLA2G2C	0.111663
UBXN10-AS1	6.25083
UBXN10	2.10112
LINC01757	0.0
VWA5B1	0.0697114
RP4-745E8.2	0.0
LINC01141	0.667059
RP4-749H3.2	0.0
CAMK2N1	181.954
MUL1	13.5863
RPS4XP4	0.0
FAM43B	10.1481
CDA	3.06143
PINK1	47.2882
PINK1-AS	1.00259
DDOST	30.1094
KIF17	1.15788
RP5-930J4.5	0.0
SH2D5	1.52317
RP5-930J4.2	0.0
HP1BP3	32.2679
EIF4G3	16.0651
RNU7-200P	0.0
MIR1256	0.0
RPS15AP6	0.105982
RP11-487E1.2	0.0
HSPE1P27	0.0
ECE1	14.7618
RP3-329E20.2	0.0
RP5-1071N3.1	0.0595576
PPP1R11P1	0.0
RP11-293F5.8	0.0
RP11-293F5.1	0.0
NBPF2P	0.318937
HS6ST1P1	0.462158
CROCCP5	0.0
NBPF3	0.93183
PFN1P10	0.0
ALPL	10.6831
RP11-63N8.3	0.0
RAP1GAP	22.0015
USP48	10.0821
RP11-132G19.3	0.0
LDLRAD2	0.156437
HSPG2	1.45915
RP11-26H16.1	0.0419097
RP11-26H16.4	0.0
CELA3B	0.044979
RN7SL386P	0.0
RNU6-1022P	0.0
CELA3A	0.111723
RN7SL186P	0.0
RNU6-776P	0.0
LINC01635	0.0674496
LINC00339	5.76431
CDC42	54.4895
CDC42-IT1	0.0
RP1-224A6.8	0.0
RP1-224A6.9	0.532355
WNT4	0.393638
MIR4418	0.0
RP11-415K20.1	0.0
RP11-415K20.2	0.0
ZBTB40	4.20533
ZBTB40-IT1	0.0
EPHA8	0.665583
MIR6127	0.0
C1QA	35.8247
C1QC	46.2795
C1QB	53.9661
EPHB2	1.97763
MIR4684	0.0
RP11-69E9.1	0.0
MIR4253	0.0
LACTBL1	0.0
C1ORF234	0.208754
KDM1A	17.4384
RP1-184J9.2	0.0
MIR3115	0.0
MIR4419A	0.0
LUZP1	4.07445
RP5-979D14.1	0.0
RNU6-514P	0.0
RNU6-135P	0.0
HTR1D	0.16437
RP5-1057J7.1	0.0
LINC01355	2.6159
HNRNPR	16.9851
ZNF436	5.4237
ZNF436-AS1	5.6062
RP5-1057J7.7	0.120925
TCEA3	3.45758
RP4-654C18.1	0.0
ASAP3	11.1592
E2F2	0.0282485
RP1-150O5.3	0.133174
ID3	39.9965
MDS2	0.0506103
RP11-223J15.2	0.0
RPL11	256.751
ELOA	8.47276
ELOA-AS1	1.82427
PITHD1	67.8535
LYPLA2	17.5616
GALE	3.86108
HMGCL	9.47465
FUCA1	7.41113
CNR2	0.00425144
BTBD6P1	0.0
RP11-4M23.3	0.0
MIR378F	0.0
RP11-4M23.4	0.0
PNRC2	29.9919
SRSF10	10.7006
RP11-4M23.7	0.0
RP11-293P20.2	0.0
MYOM3	0.034044
RP11-293P20.4	0.0
IL22RA1	0.0685505
IFNLR1	0.621587
RP11-10N16.2	0.0233263
RP11-10N16.3	0.027597
GRHL3	0.29183
STPG1	2.43231
NIPAL3	31.0523
RCAN3	4.26313
RP4-594I10.3	0.0
NCMAP	0.39453
RP11-496D1.2	0.0
Y_RNA	0.0
SRRM1	21.0793
CLIC4	57.1218
RNU6-1208P	0.0
RUNX3	0.8405
MIR6731	0.0
RP11-84D1.1	0.0
RP11-84D1.2	0.0
MIR4425	0.0
RP4-799D16.1	0.0
RP4-781L3.1	0.10573
RP4-706G24.1	0.0
SYF2	17.6307
RSRP1	28.1063
RP3-465N24.6	0.729088
RP3-465N24.5	0.228906
RHD	0.154641
SDHDP6	0.233307
RP11-335G20.7	0.0
TMEM50A	35.5646
RHCE	0.980864
RP3-469D22.1	0.0626917
TMEM57	8.67825
LDLRAP1	12.9148
RP11-70P17.1	0.746021
MAN1C1	4.57357
RP1-187B23.1	0.0487442
SELENON	25.3898
RP1-317E23.3	0.319576
MTFR1L	29.1274
AUNIP	0.373332
RP1-125I3.2	0.0
PAQR7	6.96544
Y_RNA	0.0
STMN1	118.52
SNRPFP2	0.129795
RP1-125I3.4	0.0
MIR3917	0.0
PAFAH2	4.30856
RNU6-110P	0.0
SCARNA17	0.0
SCARNA18	0.0
EXTL1	3.98924
SLC30A2	0.0258856
RP11-96L14.9	0.0
TRIM63	0.145677
PDIK1L	2.61424
FAM110D	1.80865
RP11-96L14.8	0.0
RP11-96L14.7	0.289014
ZNF593	0.0
CNKSR1	1.92863
CATSPER4	0.0
RP11-231P20.2	1.11448
RP11-231P20.6	0.0
CEP85	4.64896
RP11-231P20.5	0.0598413
SH3BGRL3	82.64
UBXN11	9.32179
CD52	1.50517
AIM1L	0.0146284
RP11-569G9.7	0.0
ZNF683	0.131911
LIN28A	0.0
DHDDS	8.23111
RP3-476K8.4	0.0727184
RP3-476K8.3	0.277353
HMGN2	50.5512
DPPA2P2	0.0
RPS6KA1	9.33964
MIR1976	0.0
RN7SL679P	0.0
Y_RNA	0.0
RNU7-29P	0.0
RP11-492M19.3	0.0
SNOU13	0.0
RP4-785J1.1	0.0
RP5-968P14.2	0.194829
ARID1A	8.96392
PIGV	4.92458
RN7SL165P	0.0
ZDHHC18	7.61448
SFN	0.780517
GPN2	7.23398
GPATCH3	8.15157
NUDC	61.1398
NR0B2	0.0
KDF1	0.0383046
RPL12P13	0.0
RP11-344H11.5	0.0
OSTCP2	0.0
TRNP1	14.5391
FAM46B	0.418365
SLC9A1	6.32209
RP11-40H20.5	0.0
CHCHD3P3	0.0
NPM1P39	0.0997669
SNRPEP7	0.0
RP11-40H20.4	0.0
WDTC1	23.1139
Y_RNA	0.0
RP11-4K3__A.3	0.714854
TMEM222	29.827
RNU6-48P	0.0
ACTG1P20	0.362393
SYTL1	0.522506
MAP3K6	5.56741
FCN3	0.599687
CD164L2	0.0345496
RP1-144C9.2	0.0600262
GPR3	1.95474
WASF2	29.1279
RP4-752I6.1	0.0
RP1-159A19.4	0.386596
AHDC1	7.11557
FGR	6.26985
RP1-159A19.3	0.976112
RP11-288L9.1	0.138173
IFI6	97.7736
RP11-288L9.4	0.0712787
RNU6-949P	0.0
CHMP1AP1	0.0
RNU6-424P	0.0
FAM76A	4.24356
RP3-426I6.2	0.0700828
RPEP3	0.0
STX12	43.6461
RP3-426I6.5	0.182138
RP3-426I6.6	1.0039
RNU6-1245P	0.0
PPP1R8	17.9339
SCARNA1	0.0
THEMIS2	6.05494
RPA2	23.4211
SMPDL3B	0.058726
RP11-460I13.2	0.0
XKR8	5.54374
EYA3	4.56308
RP11-460I13.6	0.132825
RN7SL559P	0.0
SPCS2P4	1.05844
RP5-1053E7.2	0.0
RP5-1053E7.3	0.0
RNU6-176P	0.0
PTAFR	2.40006
DNAJC8	50.2915
ATPIF1	57.8765
RP5-1092A3.4	1.0083
RP5-1092A3.5	0.0
SESN2	5.05007
MED18	4.16288
PHACTR4	6.04216
Y_RNA	0.0
RP1-308E4.1	0.0
RNU6ATAC27P	0.0
RCC1	2.64169
SNORA73A	0.289734
SNORA73B	0.433343
PRDX3P2	0.0
RP4-669K10.8	0.139391
TRNAU1AP	4.84844
SNHG12	6.34385
SNORD99	0.0
SNORA61	7.04297
SNORA44	1.65779
SNORA16A	0.0
TAF12	9.74381
RAB42	0.385822
LINC01715	0.900861
RNU11	0.0
GMEB1	1.74338
SCARNA24	0.0
YTHDF2	11.2293
OPRD1	0.102278
RP1-212P9.3	0.0344286
Y_RNA	0.0
EPB41	2.16002
RP4-604A21.1	0.0
Y_RNA	0.0
METAZOA_SRP	0.0
TMEM200B	0.902037
RP11-242O24.3	0.0
SRSF4	37.8753
UC_338	0.128263
MECR	9.31643
RP11-467D18.2	0.0
PTPRU	9.57775
LINC01756	0.0
RP11-810H18.1	0.0
RP4-656G21.1	0.0
RP11-179G8.1	0.0
LINC01648	0.0
RP5-893G23.1	0.0
RP3-357I16.1	0.0
RP4-591L5.1	0.0
RP4-591L5.2	0.0
MATN1	0.29726
MATN1-AS1	1.2268
LAPTM5	37.7048
MIR4420	0.0
RP5-1125N11.1	0.0
LINC01778	0.489929
RN7SKP91	0.0
RP1-65J11.5	0.0
SDC3	80.1807
RN7SL371P	0.0
PUM1	15.5223
RP11-201O14.1	0.0
RP11-201O14.2	0.0
SELENOWP1	0.0
RP11-490K7.1	0.0
NKAIN1	6.11159
SNRNP40	7.08156
RP11-490K7.4	0.843556
ZCCHC17	55.64
RP11-266K22.2	0.0
FABP3	76.1366
SERINC2	1.77051
RP11-439L8.2	0.0
RNU6-40P	0.0
LINC01225	0.0
Y_RNA	0.0
LINC01226	0.00472542
RP11-73M7.1	0.0400754
TINAGL1	9.03186
HCRTR1	0.160023
PEF1	45.7071
RP11-73M7.6	3.06285
RP11-73M7.9	0.173919
COL16A1	35.5012
ADGRB2	21.2053
MIR4254	0.0
RP11-84A19.3	0.0
SPOCD1	0.819042
RP11-84A19.2	0.093001
RP11-84A19.4	0.201972
PTP4A2	159.777
RP4-534N18.2	0.104843
KHDRBS1	30.2506
RP11-277A4.4	0.0681143
TMEM39B	4.63807
MIR5585	0.0
METAZOA_SRP	0.0
KPNA6	11.8493
TXLNA	15.6124
CCDC28B	4.66219
RP4-622L5.7	0.359202
IQCC	2.1116
DCDC2B	0.145135
TMEM234	4.19417
EIF3I	78.5845
MTMR9LP	6.95902
FAM167B	1.97087
LCK	0.291305
METAZOA_SRP	0.0
Y_RNA	0.0
HDAC1	19.636
MARCKSL1	399.655
RP4-811H24.9	0.160976
TSSK3	1.6512
FAM229A	5.87364
BSDC1	28.8511
GAPDHP20	0.0
RP11-395N6.4	0.0
LRRC37A12P	0.0
RN7SL122P	0.0
ZBTB8B	0.608745
ZBTB8A	0.885384
ZBTB8OS	8.6038
Y_RNA	0.0
RBBP4	20.5032
SYNC	2.06057
RP11-114B7.6	0.0
KIAA1522	3.47321
YARS	12.7708
S100PBP	5.18733
FNDC5	11.6099
HPCA	11.1542
TMEM54	33.1259
RNF19B	8.51461
RP5-1174N9.2	0.196134
RP4-803A2.1	0.0898213
RP4-803A2.2	0.0361405
AK2	18.8189
METAZOA_SRP	0.0
RP1-117O3.2	0.0627919
AZIN2	8.68867
RP11-131M11.2	0.833252
TRIM62	7.34714
RP11-131M11.3	0.472041
ZNF362	12.4279
RP11-415J8.7	0.208533
A3GALT2	0.04683
RP11-415J8.3	0.979547
PHC2	32.5279
MIR3605	0.0
RN7SKP16	0.354515
RP11-415J8.5	0.0
TLR12P	0.0
ZSCAN20	0.519207
RP4-580O19.2	0.11264
CSMD2	1.20401
HSPD1P14	0.0
HMGB4	0.0176782
CSMD2-AS1	0.0
RNA5SP42	0.0
C1ORF94	0.454789
RP4-657M3.2	0.0
MIR552	0.0
SMIM12	4.38816
GJB5	0.442312
GJB4	0.00934605
GJB3	0.0415555
RP1-34M23.5	0.0
GJA4	7.84792
RP5-997D16.2	1.43246
DLGAP3	6.95455
RP11-244H3.1	1.4314
TMEM35B	11.9722
ZMYM6	3.67604
RPL12P45	0.0
ZMYM1	1.29985
EFCAB14P1	0.0
SFPQ	38.8484
Y_RNA	0.0
ZMYM4	9.01421
RN7SL503P	0.0
SNORA62	0.0
RPL5P4	1.26553
ZMYM4-AS1	0.0
METAZOA_SRP	0.0
KIAA0319L	13.0758
RP4-728D4.3	0.0
NCDN	48.3091
RP4-728D4.2	0.388875
TFAP2E	4.34388
PSMB2	19.9286
C1ORF216	18.8656
CLSPN	0.0819445
RP11-435D7.3	0.0
AGO4	6.39593
AGO1	6.11107
RP4-789D17.4	0.0
AGO3	2.40595
RP4-665N4.8	0.0354025
RP4-665N4.4	0.0942605
TEKT2	1.00022
ADPRHL2	21.8326
COL8A2	1.55802
TRAPPC3	16.8188
MAP7D1	100.115
RN7SL131P	0.0
THRAP3	24.7378
UBE2V2P4	0.0
SH3D21	1.85121
EVA1B	8.0019
RP11-268J15.5	7.67688
STK40	10.3622
LSM10	22.539
RNU4-27P	0.0
OSCP1	4.06244
SNORA63	0.681888
MRPS15	20.3262
CSF3R	7.94995
FTLP18	0.0
RP4-614N24.1	0.0
GRIK3	5.84654
MIR4255	0.0
RNU6-636P	0.0
RP5-1180C18.1	0.453949
RNA5SP43	0.0
RPS29P6	0.436292
LINC01137	2.78987
ZC3H12A	1.33265
MIR6732	0.0
MEAF6	26.2613
MIR5581	0.0
SNIP1	2.9294
FTH1P1	0.0518151
RP3-423B22.5	0.170476
DNALI1	7.93146
GNL2	6.25359
RSPO1	0.0122893
C1ORF109	3.44169
CDCA8	0.667608
EPHA10	1.57935
Y_RNA	0.0
ACTN4P2	0.0
RP11-109P14.2	0.0
MANEAL	4.61437
YRDC	9.13784
C1ORF122	98.5781
MTF1	3.6731
RP11-109P14.8	0.0
INPP5B	3.50404
SNORA63	0.0
RNU6-584P	0.0
METAZOA_SRP	0.0
SF3A3	12.3334
RNU6-510P	0.285462
FHL3	8.83294
UTP11	8.56218
POU3F1	0.401119
RP5-884C9.2	1.03229
RP5-884C9.3	0.0
MIR3659	0.0
LINC01343	0.0103743
RP11-329N22.2	0.0
RNU6-753P	0.0
LINC01685	0.0
RP11-334L9.1	0.0198492
