gene_symbol	ensp_id	proximity	sn_tpm
SNRPG	9606.ENSP00000272348	1.0706638115631693	16.3646
ATP11A	9606.ENSP00000420387	1.0718113612004287	7.44862
FZR1	9606.ENSP00000378529	1.0718113612004287	15.2616
RPS27	9606.ENSP00000357555	1.0718113612004287	633.221
MAN2B1	9606.ENSP00000395473	1.0718113612004287	9.6446
FNBP1L	9606.ENSP00000271234	1.0718113612004287	9.05935
UBE2Z	9606.ENSP00000354201	1.0718113612004287	24.0994
PSMC4	9606.ENSP00000157812	1.0718113612004287	44.2167
DENND5A	9606.ENSP00000328524	1.0729613733905579	68.7221
UBE2R2	9606.ENSP00000263228	1.0729613733905579	26.113
FBXW2	9606.ENSP00000476369	1.0729613733905579	6.49198
COPS7B	9606.ENSP00000362710	1.0729613733905579	16.8743
UBA6	9606.ENSP00000313454	1.0729613733905579	5.54785
UBE2E3	9606.ENSP00000386788	1.0729613733905579	30.4028
PAIP1	9606.ENSP00000302768	1.0729613733905579	20.3405
RPS15A	9606.ENSP00000318646	1.0729613733905579	43.7012
RPL7	9606.ENSP00000339795	1.0729613733905579	223.773
AP3B1	9606.ENSP00000255194	1.0729613733905579	8.67033
HSPA1A	9606.ENSP00000364802	1.0729613733905579	77.1967
GSPT2	9606.ENSP00000341247	1.0729613733905579	5.59582
RPS2	9606.ENSP00000341885	1.0729613733905579	284.581
CNOT4	9606.ENSP00000445508	1.0741138560687433	4.63008
RPS23	9606.ENSP00000296674	1.0741138560687433	115.372
RNPS1	9606.ENSP00000457723	1.0741138560687433	43.017
RPL23	9606.ENSP00000420311	1.0741138560687433	126.389
FBXO21	9606.ENSP00000328187	1.0741138560687433	11.7268
UBE4A	9606.ENSP00000387362	1.0741138560687433	5.53949
PPP3CB	9606.ENSP00000378306	1.0741138560687433	17.8959
NECAP2	9606.ENSP00000391942	1.0741138560687433	19.4959
U2AF2	9606.ENSP00000307863	1.0741138560687433	38.301
KIF3B	9606.ENSP00000364864	1.0741138560687433	19.9099
AP4E1	9606.ENSP00000261842	1.0741138560687433	2.17522
TCIRG1	9606.ENSP00000265686	1.0741138560687433	8.79828
DAB2	9606.ENSP00000313391	1.075268817204301	5.38792
SMG7	9606.ENSP00000425133	1.075268817204301	12.3599
RPL8	9606.ENSP00000262584	1.075268817204301	465.786
RPS3A	9606.ENSP00000346050	1.075268817204301	367.839
RPS8	9606.ENSP00000379888	1.075268817204301	273.855
OCRL	9606.ENSP00000360154	1.075268817204301	13.2024
FGR	9606.ENSP00000363117	1.075268817204301	6.26985
LAMP1	9606.ENSP00000333298	1.075268817204301	91.3447
NEDD4	9606.ENSP00000424827	1.075268817204301	1.18432
RBM14	9606.ENSP00000311747	1.075268817204301	11.9506
SKP2	9606.ENSP00000274255	1.075268817204301	3.98318
RAB29	9606.ENSP00000356107	1.075268817204301	13.3348
UBE2D4	9606.ENSP00000222402	1.075268817204301	10.9654
CASC3	9606.ENSP00000264645	1.0764262648008611	64.1114
PABPC4	9606.ENSP00000361949	1.0764262648008611	22.509
